MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.7441524557632533,2.1131331703260186,1.2594968640391613,2.1741079637570424
1.6728227807177651,1.5957429367702998,1.8785125074219053,1.5565565214743748
1.9799869765894256,1.539544876679125,2.3674248716933817,1.818061154082916
1.726426680623685,1.6108324393539337,1.8082184376273498,1.8240738119335165
1.7168578979418734,1.8739648573901582,1.506570309356209,2.3901154139115066
1.7603860466574657,1.7722434010494224,1.8714562792821035,2.268966875885731
2.351580118138808,1.590792518770132,1.857277898861067,2.063459810013198
1.782237494950988,2.181543165436915,2.2861153596627726,1.3034969210068117
1.9025077182744605,1.5574796307889127,1.5036474231895531,1.811163140097199
1.9805950851815135,1.6359930118465074,1.5899303257640351,1.5236845600478512
