MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.0301603847997955,1.0420237464562787,1.2211266420567868,1.3209169500830453
1.1121788333691451,1.0195332415390899,1.139589400270896,1.3002017787176916
1.0585104636301341,1.0295187725980461,1.0804215854014625,1.1520050019714285
1.06054538831601,1.0754162584330553,1.0852244406722809,1.461067074163325
1.1074532680557396,1.0743495254159423,1.2591582064041993,1.3137547869867552
1.105102293629008,1.075037295429342,1.1107144633030064,1.245623099390986
1.167485584444635,1.0756351494882908,1.1318292243528503,1.3035813759824846
1.0939655910240014,1.0705087946187752,1.1551717292053991,1.2080937841560433
1.0496553037330558,1.1678703379223958,1.098841270606023,1.3390702506945393
1.055252884741462,1.1162043534898543,1.3392318317865093,1.530471233284592
