MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.5657062920898244,1.5191376121696318,2.180573657367733,2.0560536674435688
1.514844123284427,1.9030189483795044,2.2126673222596676,2.0404888947323894
1.419106356007245,1.595234240779448,1.9291270926565522,2.190608614498126
1.7309996226759967,1.5537009534724036,1.7879605735438366,1.8558175811940256
1.4209917754719066,1.8836989211704973,1.8251608193505915,2.0654687909110145
1.3110932524172754,1.46873141573074,1.9064112019163875,1.6666542617932125
1.4185891625730613,1.341016398029424,1.7706193519949311,1.9348020614853463
2.0289041216099952,1.4693818115865611,2.370114089401449,2.0463682479629117
1.5495907035904926,1.4800535222125848,1.7846746044486617,1.8204812589853687
1.3906265321772262,1.7070163013761284,1.7828283681879604,1.523791899852141
